物種UUID,分類階層,類群,科,科中文名,分類群學名,分類群俗名,簡學名,特有性,原生性,保育類等級,國內紅皮書評估類別
bf6a3e58-a8a5-4c76-9658-81a672faea92,種,兩棲類,Bufonidae,蟾蜍科,"Bufo bankorensis",盤古蟾蜍,"Bufo bankorensis",台灣特有,"原生 Native",,"暫無危機（LC, Least Concern）"
54754afb-b5c8-4849-8405-4e74f1c936cb,種,兩棲類,Bufonidae,蟾蜍科,"Duttaphrynus melanostictus",黑眶蟾蜍,"Duttaphrynus melanostictus",,"原生 Native",,"暫無危機（LC, Least Concern）"
f4b2f0bb-b7ae-4fb9-b466-1d58a4a77ce2,種,兩棲類,Bufonidae,蟾蜍科,"Rhinella marina",海蟾蜍,"Rhinella marina",,"外來 Non-native",,
548afc00-41bb-4980-9cc1-8bbdd9e5860e,種,兩棲類,Dicroglossidae,叉舌蛙科,"Fejervarya cancrivora",海蛙,"Fejervarya cancrivora",,"外來 Non-native",,"資料缺乏（DD, Data Deficient）"
9fd8a640-b420-4e46-8073-f6865124c318,種,兩棲類,Dicroglossidae,叉舌蛙科,"Fejervarya limnocharis",澤蛙,"Fejervarya limnocharis",,"原生 Native",,"暫無危機（LC, Least Concern）"
255b6444-4f05-4faf-9011-b35215176e0c,種,兩棲類,Dicroglossidae,叉舌蛙科,"Hoplobatrachus rugulosus",虎皮蛙,"Hoplobatrachus rugulosus",,"原生 Native",,"暫無危機（LC, Least Concern）"
4e683882-5eee-4650-869c-daf7328a1f06,種,兩棲類,Dicroglossidae,叉舌蛙科,"Limnonectes fujianensis",福建大頭蛙,"Limnonectes fujianensis",,"原生 Native",,"暫無危機（LC, Least Concern）"
89d7be27-d836-4ef1-8cfa-2ea202ce995b,種,兩棲類,Eleutherodactylidae,卵齒蟾科,"Eleutherodactylus planirostris",溫室蟾,"Eleutherodactylus planirostris",,"外來 Non-native",,
9863c62f-c8f6-43a5-a337-59c2c028d804,種,兩棲類,Hylidae,樹蟾科,"Hyla chinensis",中國樹蟾,"Hyla chinensis",,"原生 Native",,"暫無危機（LC, Least Concern）"
00a2f8fd-ff08-4b5f-8d37-0880e7320587,種,兩棲類,Hynobiidae,山椒魚科,"Hynobius arisanensis",阿里山山椒魚,"Hynobius arisanensis",台灣特有,"原生 Native",第二級、珍貴稀有保育類野生動物,"易危（VU, Vulnerable）"
53f81e9d-d079-42a1-a9f1-6fa6e96eaa52,種,兩棲類,Hynobiidae,山椒魚科,"Hynobius formosanus",臺灣山椒魚,"Hynobius formosanus",台灣特有,"原生 Native",第一級、瀕臨絕種保育類野生動物,"瀕危（EN, Endangered）"
e8a89a66-cc57-454f-84ba-2cde6ac5fbd3,種,兩棲類,Hynobiidae,山椒魚科,"Hynobius fucus",觀霧山椒魚,"Hynobius fucus",台灣特有,"原生 Native",第一級、瀕臨絕種保育類野生動物,"瀕危（EN, Endangered）"
9610bea3-8a90-417e-9948-2fabb701fd7f,種,兩棲類,Hynobiidae,山椒魚科,"Hynobius glacialis",南湖山椒魚,"Hynobius glacialis",台灣特有,"原生 Native",第一級、瀕臨絕種保育類野生動物,"極危（CR, Critically Endangered）"
9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b,種,兩棲類,Hynobiidae,山椒魚科,"Hynobius sonani",楚南氏山椒魚,"Hynobius sonani",台灣特有,"原生 Native",第一級、瀕臨絕種保育類野生動物,"瀕危（EN, Endangered）"
be3e1ea9-8cd4-42ee-9212-e7d003d34acf,種下階層,兩棲類,Microhylidae,狹口蛙科,"Kaloula pulchra pulchra",亞洲錦蛙,"Kaloula pulchra pulchra",,"外來 Non-native",,
