"id","family","family_cname","cname","name","fullname","is_endemic","iucn_category","source"
416053,"Soricidae","尖鼠科","短尾鼩","Anourosorex yamashinai","Anourosorex yamashinai Kuroda, 1935 ",1,"LC","原生"
380591,"Muridae","鼠科","赤背條鼠","Apodemus agrarius","Apodemus agrarius Pallas, 1771 ",0,"LC","原生"
380592,"Muridae","鼠科","臺灣森鼠","Apodemus semotus","Apodemus semotus Thomas, 1908 ",1,"LC","原生"
380563,"Vespertilionidae","蝙蝠科","黃頸蝠","Arielulus torquatus","Arielulus torquatus Gabor & Lee, 1999 ",1,"LC","原生"
380528,"Balaenopteridae","鬚鯨科","小鬚鯨","Balaenoptera acutorostrata","Balaenoptera acutorostrata Lacépède, 1804 ",0,NA,"原生"
380529,"Balaenopteridae","鬚鯨科","鰮鯨","Balaenoptera borealis","Balaenoptera borealis Lesson, 1828 ",0,NA,"原生"
380530,"Balaenopteridae","鬚鯨科","鯷鯨","Balaenoptera edeni","Balaenoptera edeni Anderson, 1879 ",0,NA,"原生"
438276,"Balaenopteridae","鬚鯨科","布氏鯨","Balaenoptera edeni brydei","Balaenoptera edeni brydei  Olsen, 1913",0,"NE","原生"
385002,"Balaenopteridae","鬚鯨科","藍鯨","Balaenoptera musculus","Balaenoptera musculus Linnaeus,1758 ",0,NA,"原生"
385001,"Balaenopteridae","鬚鯨科","大村鯨","Balaenoptera omurai","Balaenoptera omurai Wada, Oishi & Yamada, 2003 ",0,NA,"原生"
380531,"Balaenopteridae","鬚鯨科","長須鯨","Balaenoptera physalus","Balaenoptera physalus Linnaeus, 1758 ",0,NA,"原生"
430503,"Balaenopteridae","鬚鯨科","臺灣鯨","Balaenoptera taiwanica","Balaenoptera taiwanica Huang, 1965 ",0,NA,"原生"
380593,"Muridae","鼠科","鬼鼠","Bandicota indica","Bandicota indica Bechstein, 1800 ",0,"LC","原生"
432675,"Vespertilionidae","蝙蝠科","東方寬耳蝠","Barbastella darjelingensis","Barbastella darjelingensis Dobson, 1975 ",0,"LC","原生"
380604,"Sciuridae","松鼠科","小鼯鼠","Belomys pearsonii kaleensis","Belomys pearsonii kaleensis Swinhoe , 1862 ",1,"LC","原生"
443088,"Bovidae","牛科","水牛","Bubalus bubalis","Bubalus bubalis Linnaeus, 1758 ",0,NA,"歸化"
380605,"Sciuridae","松鼠科","赤腹松鼠","Callosciurus erythraeus thaiwanensis","Callosciurus erythraeus thaiwanensis Pallas, 1779 ",1,"LC","原生"
434632,"Canidae","犬科","犬","Canis lupus familiaris","Canis lupus familiaris Linnaeus, 1758 ",0,NA,"歸化"
443658,"Bovidae","牛科","家羊","Capra aegagrus hircus","Capra aegagrus hircus Linnaeus, 1758 ",0,NA,"歸化"
416105,"Bovidae","牛科","臺灣野山羊","Capricornis swinhoei","Capricornis swinhoei Gray, 1862 ",1,"NT","原生"
380513,"Cervidae","鹿科","臺灣梅花鹿","Cervus nippon taiouanus","Cervus nippon taiouanus Blyth, 1860 ",1,"NA","原生"
380580,"Soricidae","尖鼠科","水鼩","Chimarrogale himalayica","Chimarrogale himalayica Gray, 1842 ",0,"VU","原生"
416060,"Soricidae","尖鼠科","細尾長尾鼩","Chodsigoa sodalis","Chodsigoa sodalis Thomas, 1913 ",1,"DD","原生"
380557,"Hipposideridae","葉鼻蝠科","臺灣無尾葉鼻蝠","Coelops frithii formosanus","Coelops frithii formosanus Horikawa, 1928 ",1,"VU","原生"
416058,"Soricidae","尖鼠科","臺灣長尾麝鼩","Crocidura rapax kurodai","Crocidura rapax kurodai Jameson & Jones, 1977 ",1,NA,"原生"
