物種UUID,分類階層,類群,科,科中文名,分類群學名,分類群俗名,簡學名,特有性,原生性,保育類等級,國內紅皮書評估類別
71e0d009-f8f2-43f6-8a8c-c136574d5546,種下階層,哺乳類,Balaenopteridae,鬚鯨科,"Balaenoptera edeni brydei",布氏鯨,"Balaenoptera edeni brydei",,"原生 Native",第一級、瀕臨絕種保育類野生動物,"未評估（NE, Not Evaluated）"
525d7081-7040-456a-8d28-53381a10dc44,種,哺乳類,Balaenopteridae,鬚鯨科,"Balaenoptera acutorostrata",小鬚鯨,"Balaenoptera acutorostrata",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
39c658e8-d46d-4ffb-bde5-3df040704793,種,哺乳類,Balaenopteridae,鬚鯨科,"Balaenoptera omurai",大村鯨,"Balaenoptera omurai",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
e7e61480-ff22-42ef-8c55-ceaaef205e25,種,哺乳類,Balaenopteridae,鬚鯨科,"Balaenoptera physalus",長須鯨,"Balaenoptera physalus",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
a225e20b-9a77-4033-b833-fc8db006fdec,種,哺乳類,Balaenopteridae,鬚鯨科,"Balaenoptera taiwanica",臺灣鯨,"Balaenoptera taiwanica",,"原生 Native",第二級、珍貴稀有保育類野生動物,
6358b5a1-3a1b-4354-a9cb-72a77a7cb3eb,種,哺乳類,Balaenopteridae,鬚鯨科,"Megaptera novaeangliae",大翅鯨,"Megaptera novaeangliae",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
637a7223-36ab-4934-9e56-193a782ee8b6,種,哺乳類,Bovidae,牛科,"Bubalus bubalis",水牛,"Bubalus bubalis",,"外來 Non-native",,
c6b50b1a-8e3b-4729-ba20-73faaf3d9250,種,哺乳類,Bovidae,牛科,"Capricornis swinhoei",臺灣野山羊,"Capricornis swinhoei",台灣特有,"原生 Native",第三級、其他應予保育之野生動物,"接近受脅（NT, Near Threatened）"
2bc7c6f6-0ae0-4dbc-b3d3-edc1cf38ddf8,種下階層,哺乳類,Canidae,犬科,"Canis lupus familiaris",家犬,"Canis lupus familiaris",,"外來 Non-native",,
1ef26ce6-3221-41a6-bd30-46ce27bf49c6,種,哺乳類,Cercopithecidae,獼猴科,"Macaca cyclopis",臺灣獼猴,"Macaca cyclopis",台灣特有,"原生 Native",,"暫無危機（LC, Least Concern）"
