物種UUID,分類階層,類群,科,科中文名,分類群學名,分類群俗名,簡學名,特有性,原生性,保育類等級,國內紅皮書評估類別
fea1180f-5663-4500-95bd-c8e8530e1038,種下階層,鳥類,Accipitridae,鷹科,"Accipiter gentilis fujiyamae",蒼鷹(日本亞種),"Accipiter gentilis fujiyamae",,"原生 Native",第二級、珍貴稀有保育類野生動物,
2d6dd3dd-f84a-4a5d-931c-46ebd54602d5,種下階層,鳥類,Accipitridae,鷹科,"Accipiter gularis gularis",日本松雀鷹,"Accipiter gularis gularis",,"原生 Native",第二級、珍貴稀有保育類野生動物,"暫無危機（LC, Least Concern）"
4b695626-9998-4d81-9868-d01ab2659431,種下階層,鳥類,Accipitridae,鷹科,"Accipiter nisus nisosimilis",北雀鷹,"Accipiter nisus nisosimilis",,"原生 Native",第二級、珍貴稀有保育類野生動物,
8b793d63-11b9-47e2-b5bd-6fb62571ca19,種下階層,鳥類,Accipitridae,鷹科,"Accipiter trivirgatus formosae",鳳頭蒼鷹(台灣特有亞種),"Accipiter trivirgatus formosae",台灣特有,"原生 Native",第二級、珍貴稀有保育類野生動物,"暫無危機（LC, Least Concern）"
ff09956d-ea7a-4568-980f-7c0d7f5b6f0a,種下階層,鳥類,Accipitridae,鷹科,"Accipiter virgatus affinis",松雀鷹(大陸亞種),"Accipiter virgatus affinis",,"原生 Native",第二級、珍貴稀有保育類野生動物,
83d5702a-0f7d-44cb-bb4b-0363432d7683,種下階層,鳥類,Accipitridae,鷹科,"Accipiter virgatus fuscipectus",松雀鷹(台灣特有亞種),"Accipiter virgatus fuscipectus",台灣特有,"原生 Native",第二級、珍貴稀有保育類野生動物,"暫無危機（LC, Least Concern）"
d1c89829-7756-45f1-9842-8be37d714222,種下階層,鳥類,Accipitridae,鷹科,"Aviceda leuphotes syama",黑冠鵑隼,"Aviceda leuphotes syama",,"原生 Native",第二級、珍貴稀有保育類野生動物,
1cde0d7f-e86d-478b-97bc-563a0869f158,種下階層,鳥類,Accipitridae,鷹科,"Buteo japonicus japonicus",東方鵟,"Buteo japonicus japonicus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
366e2e63-8640-4953-adfa-ff5e76125d3b,種下階層,鳥類,Accipitridae,鷹科,"Buteo lagopus menzbieri",毛足鵟(西伯利亞亞種),"Buteo lagopus menzbieri",,"原生 Native",第二級、珍貴稀有保育類野生動物,
7a1c4d23-f5a4-4169-985e-0591c12bd4fd,種下階層,鳥類,Accipitridae,鷹科,"Circus spilonotus spilonotus",東方澤鵟,"Circus spilonotus spilonotus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
7fdb1a8f-7ec9-4c86-a1e7-e802953dbba0,種下階層,鳥類,Accipitridae,鷹科,"Elanus caeruleus vociferus",黑翅鳶(vociferus亞種),"Elanus caeruleus vociferus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
b20f5a90-dff6-48a9-b9ba-fd047d2ec7b7,種下階層,鳥類,Accipitridae,鷹科,"Ictinaetus malaiensis malaiensis",林鵰(指名亞種),"Ictinaetus malaiensis malaiensis",,"原生 Native",第二級、珍貴稀有保育類野生動物,
a04e4fd0-703a-418e-8aa7-2948c0d0468d,種下階層,鳥類,Accipitridae,鷹科,"Milvus migrans formosanus",黑鳶(台灣亞種),"Milvus migrans formosanus",,"原生 Native",第二級、珍貴稀有保育類野生動物,"易危（VU, Vulnerable）"
869544b3-aede-40ef-bec8-a2f05484b9e3,種下階層,鳥類,Accipitridae,鷹科,"Milvus migrans lineatus",黑鳶(大陸亞種),"Milvus migrans lineatus",,"原生 Native",第二級、珍貴稀有保育類野生動物,"易危（VU, Vulnerable）"
8d8634ef-b32f-4bb0-8bc4-83cbae1fd1e1,種下階層,鳥類,Accipitridae,鷹科,"Nisaetus nipalensis nipalensis",熊鷹(指名亞種),"Nisaetus nipalensis nipalensis",,"原生 Native",,
40599ff4-51f0-4de9-8dcf-bc1d952904ca,種下階層,鳥類,Accipitridae,鷹科,"Pernis ptilorhynchus orientalis",東方蜂鷹(orientalis亞種),"Pernis ptilorhynchus orientalis",,"原生 Native",第二級、珍貴稀有保育類野生動物,"接近受脅（NT, Near Threatened）"
9e3f272f-1fc2-41e5-9ce7-5c3885a967ec,種下階層,鳥類,Accipitridae,鷹科,"Spilornis cheela hoya",大冠鷲(hoya亞種),"Spilornis cheela hoya",台灣特有,"原生 Native",第二級、珍貴稀有保育類野生動物,"暫無危機（LC, Least Concern）"
20363a3c-1e5c-4162-a830-67fe4e451174,種,鳥類,Accipitridae,鷹科,"Accipiter badius",褐耳鷹,"Accipiter badius",,"原生 Native",第二級、珍貴稀有保育類野生動物,
5a00f75f-2e53-4c6d-b55a-884f1ce64770,種,鳥類,Accipitridae,鷹科,"Accipiter gentilis",蒼鷹,"Accipiter gentilis",,"原生 Native",第二級、珍貴稀有保育類野生動物,
41ce80a3-d156-4a32-8d50-cbd9938eb8cb,種,鳥類,Accipitridae,鷹科,"Accipiter gularis",日本松雀鷹,"Accipiter gularis",,"原生 Native",第二級、珍貴稀有保育類野生動物,"暫無危機（LC, Least Concern）"
a0a98d9d-fef5-47ac-afa8-a52cebadfb47,種,鳥類,Accipitridae,鷹科,"Accipiter nisus",北雀鷹,"Accipiter nisus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
361a3560-d085-4fd2-b6f6-521f4c8049a5,種,鳥類,Accipitridae,鷹科,"Accipiter soloensis",赤腹鷹,"Accipiter soloensis",,"原生 Native",第二級、珍貴稀有保育類野生動物,"接近受脅（NT, Near Threatened）"
c3d7eb24-c683-40c1-a077-93141d28ae33,種,鳥類,Accipitridae,鷹科,"Accipiter trivirgatus",鳳頭蒼鷹,"Accipiter trivirgatus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
828253a2-1f00-401b-b5c9-f3a37791600a,種,鳥類,Accipitridae,鷹科,"Accipiter virgatus",松雀鷹,"Accipiter virgatus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
382b65de-c823-4945-9a77-00bd707eeb94,種,鳥類,Accipitridae,鷹科,"Aegypius monachus",禿鷲,"Aegypius monachus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
c0ea178e-5629-4e72-9a26-d31954e6a982,種,鳥類,Accipitridae,鷹科,"Aquila fasciata",白腹鵰,"Aquila fasciata",,"原生 Native",第二級、珍貴稀有保育類野生動物,
08dd93ce-8d46-44a9-92ba-8f4a5aec3cf1,種,鳥類,Accipitridae,鷹科,"Aquila heliaca",白肩鵰,"Aquila heliaca",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
7e1b0fb8-65f9-4642-870c-b868e2143e72,種,鳥類,Accipitridae,鷹科,"Aviceda leuphotes",黑冠鵑隼,"Aviceda leuphotes",,"原生 Native",第二級、珍貴稀有保育類野生動物,
dff00aa5-f437-45cb-aefb-14ce0ecb9a75,種,鳥類,Accipitridae,鷹科,"Butastur indicus",灰面鵟鷹,"Butastur indicus",,"原生 Native",第二級、珍貴稀有保育類野生動物,"暫無危機（LC, Least Concern）"
3cc98484-bbf2-4c57-9300-b04ffc39ba8d,種,鳥類,Accipitridae,鷹科,"Buteo hemilasius",大鵟,"Buteo hemilasius",,"原生 Native",第二級、珍貴稀有保育類野生動物,
27fbbbb9-e533-4c9b-a9a1-1e7dedf64715,種,鳥類,Accipitridae,鷹科,"Buteo japonicus",東方鵟,"Buteo japonicus",,"原生 Native",第二級、珍貴稀有保育類野生動物,"暫無危機（LC, Least Concern）"
88f50e88-227f-4ef4-984c-8ed45ce8cb85,種,鳥類,Accipitridae,鷹科,"Buteo lagopus",毛足鵟,"Buteo lagopus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
ce128479-d544-417d-a4c2-d1d715a7673f,種,鳥類,Accipitridae,鷹科,"Circus aeruginosus",西方澤鵟,"Circus aeruginosus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
70588a08-4194-4b68-83c5-451567799eb2,種,鳥類,Accipitridae,鷹科,"Circus cyaneus",灰澤鵟,"Circus cyaneus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
001e4cc4-f14f-4139-b015-cd5267d786cc,種,鳥類,Accipitridae,鷹科,"Circus melanoleucos",花澤鵟,"Circus melanoleucos",,"原生 Native",第二級、珍貴稀有保育類野生動物,
e72144b2-4d05-44c7-a93d-063fbae7c6e5,種,鳥類,Accipitridae,鷹科,"Circus spilonotus",東方澤鵟,"Circus spilonotus",,"原生 Native",第二級、珍貴稀有保育類野生動物,
3fae360a-23ea-45ef-827a-4c7af654fe69,種,鳥類,Accipitridae,鷹科,"Clanga clanga",花鵰,"Clanga clanga",,"原生 Native",第二級、珍貴稀有保育類野生動物,
