Acrobolbaceae|チチブイチョウゴケ科|チチブイチョウゴケ|Acrobolbus ciliatus|Acrobolbus ciliatus (Mitt.) Schiffn.|0|0||
Acrobolbaceae|チチブイチョウゴケ科|モグリゴケ|Lethocolea naruto-toganensis|Lethocolea naruto-toganensis Furuki|0|0||
Amblystegiaceae|ヤナギゴケ科|イシバイヤナギゴケ|Amblystegium calcareum|Amblystegium calcareum (Kanda) Nog.|0|0||
Amblystegiaceae|ヤナギゴケ科||Amblystegium juratzkanum|Amblystegium juratzkanum Schimp.|0|0||
Amblystegiaceae|ヤナギゴケ科|ヒメヤナギゴケ|Amblystegium serpens|Amblystegium serpens (Hedw.) Bruch et Schimp.|0|0||
Amblystegiaceae|ヤナギゴケ科|ナミスジヤナギゴケ|Amblystegium varium|Amblystegium varium (Hedw.) Lindb.|0|0||
Amblystegiaceae|ヤナギゴケ科|コガネハイゴケ|Campyliadelphus chrysophyllus|Campyliadelphus chrysophyllus (Brid.) R.S.Chopra|0|0||
Amblystegiaceae|ヤナギゴケ科|ヌマコガネハイゴケ|Campyliadelphus elodes|Campyliadelphus elodes (Lindb.) R.S.Chopra|0|0||
Amblystegiaceae|ヤナギゴケ科|ハイコガネハイゴケ|Campylium hylocomioides|Campylium hylocomioides (Broth. et Paris) Broth.|0|0||
Amblystegiaceae|ヤナギゴケ科|ニセコガネハイゴケ|Campylium pseudochrysophyllum|Campylium pseudochrysophyllum (Warnst.) Reimers|0|0||
Amblystegiaceae|ヤナギゴケ科|アカコガネハイゴケ|Campylium rufochryseum|Campylium rufochryseum (Schimp. ex Besch.) Broth.|0|0||
Amblystegiaceae|ヤナギゴケ科|ソリハヤナギゴケ|Campylium squarrosum|Campylium squarrosum (Broth. et Cardot) Kanda|0|0||
Amblystegiaceae|ヤナギゴケ科|エゾコガネハイゴケ|Campylium stellatum|Campylium stellatum (Hedw.) C.E.O.Jensen|0|0||
Amblystegiaceae|ヤナギゴケ科|ホソクシノハゴケ|Campylium tenerum|Campylium tenerum (Broth.) N.Nishim.|0|0||
Amblystegiaceae|ヤナギゴケ科|ホソミズシダゴケ|Cratoneuron filicinum|Cratoneuron filicinum (Hedw.) Spruce  var.tenerrimum Warnst.|0|0||
Amblystegiaceae|ヤナギゴケ科|ミズシダゴケ|Cratoneuron filicinum|Cratoneuron filicinum (Hedw.) Spruce|0|0||
Amblystegiaceae|ヤナギゴケ科|ニセシッチゴケ|Cratoneuron filicinum var. fallax|Cratoneuron filicinum (Hedw.) Spruce  var. fallax (Brid.) Broth.|0|0||
Amblystegiaceae|ヤナギゴケ科|ヤマトシッチゴケ|Cratoneuron filicinum var. japonicum|Cratoneuron filicinum (Hedw.) Spruce  var. japonicum Broth. ex Iisiba|0|0||
Amblystegiaceae|ヤナギゴケ科|シメリカギハイゴケ|Drepanocladus aduncus|Drepanocladus aduncus (Hedw.) Warnst.|0|0||
Amblystegiaceae|ヤナギゴケ科|リュウビゴケモドキ|Drepanocladus polygamus|Drepanocladus polygamus (Schimp.) Hedenás|0|0||
Amblystegiaceae|ヤナギゴケ科|ミネシメリゴケ|Hygrohypnum alpinum|Hygrohypnum alpinum (Lindb.) Loeske|0|0||
Amblystegiaceae|ヤナギゴケ科|テリハミズハイゴケ|Hygrohypnum alpinum var. tsurugizanicum|Hygrohypnum alpinum (Lindb.) Loeske  var. tsurugizanicum (Cardot) Nog. et Z.Iwats.|0|0||
Amblystegiaceae|ヤナギゴケ科|クワガタシメリゴケ|Hygrohypnum cordifolium|Hygrohypnum cordifolium S.Okamura|0|0||
Amblystegiaceae|ヤナギゴケ科|ツクシシメリゴケ|Hygrohypnum doii|Hygrohypnum doii Sakurai|0|0||不明
Amblystegiaceae|ヤナギゴケ科|ツヤゴケモドキ|Hygrohypnum entodontoides|Hygrohypnum entodontoides (Broth. et Paris) Broth.|0|0||
Amblystegiaceae|ヤナギゴケ科|タカネシメリゴケ|Hygrohypnum eugyrium|Hygrohypnum eugyrium (Bruch et Schimp.) Broth.|0|0||
Amblystegiaceae|ヤナギゴケ科|リュウキュウシメリゴケ|Hygrohypnum liukiuense|Hygrohypnum liukiuense Sakurai|0|0||
Amblystegiaceae|ヤナギゴケ科|シメリゴケ|Hygrohypnum luridum|Hygrohypnum luridum (Hedw.) Jenn.|0|0||
Amblystegiaceae|ヤナギゴケ科|クサシメリゴケ|Hygrohypnum molle|Hygrohypnum molle (Hedw.) Loeske|0|0||
Amblystegiaceae|ヤナギゴケ科|ミヤマクサシメリゴケ|Hygrohypnum molle var. japonicum|Hygrohypnum molle (Hedw.) Loeske  var. japonicum Sakurai|0|0||
Amblystegiaceae|ヤナギゴケ科|ウスキシメリゴケ|Hygrohypnum ochraceum|Hygrohypnum ochraceum (Wilson) Loeske|0|0||
Amblystegiaceae|ヤナギゴケ科|ムラサキシメリゴケ|Hygrohypnum purpurascens|Hygrohypnum purpurascens Broth.|0|0||
Amblystegiaceae|ヤナギゴケ科|ニセタカネシメリゴケ|Hygrohypnum subeugyrium var. japonicum|Hygrohypnum subeugyrium (Renauld et Cardot) Broth.  var. japonicum Cardot|0|0||
Amblystegiaceae|ヤナギゴケ科|ハヤマヤナギゴケ|Leptodictyum humile|Leptodictyum humile (P.Beauv.) H.A.Crum|0|0||
Amblystegiaceae|ヤナギゴケ科|オニシメリゴケ|Leptodictyum mizushimae|Leptodictyum mizushimae (Sakurai) Kanda|0|0||
Amblystegiaceae|ヤナギゴケ科|ヒロハヤナギゴケ|Leptodictyum radicale|Leptodictyum radicale (P.Beauv.) Kanda|0|0||
Amblystegiaceae|ヤナギゴケ科|ヤナギゴケ|Leptodictyum riparium|Leptodictyum riparium (Hedw.) Warnst.|0|0||
Amblystegiaceae|ヤナギゴケ科|ニセイトヤナギゴケ|Platydictya confervoides|Platydictya confervoides (Brid.) H.A.Crum|0|0||
Amblystegiaceae|ヤナギゴケ科|フォーリーイトヤナギゴケ|Platydictya fauriei|Platydictya fauriei (Cardot) Z.Iwats. et Nog.|0|0||
