"id","family","family_cname","cname","name","fullname","is_endemic","iucn_category","source"
"380628","Xenodermatidae","閃皮蛇科","臺灣標蛇","Achalinus formosanus","Achalinus formosanus Boulenger, 1908 ",0,NA,"原生"
"380629","Xenodermatidae","閃皮蛇科","標蛇","Achalinus niger","Achalinus niger Maki, 1931 ",1,"LC","原生"
"418273","Acrochordidae","瘰鱗蛇科","瘰鱗蛇","Acrochordus granulatus","Acrochordus granulatus SCHNEIDER 1799 ",0,NA,"歸化"
"380632","Colubridae","黃頷蛇科","花浪蛇","Amphiesma stolatum","Amphiesma stolatum Linnaeus, 1758 ",0,"LC","原生"
"419412","Polychrotidae","變色蜥科","沙氏變色蜥","Anolis sagrei","Anolis sagrei Duméril & Bibron, 1837 ",0,NA,"歸化"
"434998","Typhlopidae","盲蛇科","恆春盲蛇","Argyrophis koshunensis","Argyrophis koshunensis Oshima, 1916 ",1,NA,"原生"
"380689","Scincidae","石龍子科","中國光蜥","Ateuchosaurus chinensis","Ateuchosaurus chinensis Gray, 1845 ",0,"DD","原生"
"417693","Boidae","蚺科","巨蚺","Boa constrictor","Boa constrictor LINEUS 1758 ",0,NA,"歸化"
"426960","Colubridae","黃頷蛇科","棕樹蛇","Boiga irregularis","Boiga irregularis Merrem, 1802 ",0,NA,"歸化"
"380633","Colubridae","黃頷蛇科","大頭蛇","Boiga kraepelini","Boiga kraepelini Stejneger, 1902 ",0,"LC","原生"
"380661","Elapidae","蝙蝠蛇科","雨傘節","Bungarus multicinctus","Bungarus multicinctus Blyth, 1861 ",0,NA,"原生"
"418026","Crocodylidae","鱷科","眼鏡凱門鱷","Caiman crocodilus","Caiman crocodilus LINEUS 1758 ",0,NA,"歸化"
"380634","Colubridae","黃頷蛇科","鐵線蛇","Calamaria pavimentata","Calamaria pavimentata Duméril  & Bibron, 1854 ",0,NA,"原生"
"380614","Cheloniidae","蠵龜科","赤蠵龜","Caretta caretta","Caretta caretta Linnaeus, 1758 ",0,NA,"原生"
"438268","Chamaeleonidae","變色龍科","高冠變色龍","Chamaeleo calyptratus","Chamaeleo calyptratus Duméril & Duméril, 1851 ",0,NA,"歸化"
"380615","Cheloniidae","蠵龜科","綠蠵龜","Chelonia mydas","Chelonia mydas Linnaeus, 1758 ",0,NA,"原生"
"417835","Emydidae","澤龜科","星點龜","Clemmys guttata","Clemmys guttata SCHNEIDER 1792 ",0,NA,"歸化"
"380611","Geoemydidae","地龜科","食蛇龜","Cuora flavomarginata","Cuora flavomarginata Gray, 1863 ",0,"VU","原生"
