物種UUID,分類階層,類群,科,科中文名,分類群學名,分類群俗名,簡學名,特有性,原生性,保育類等級,國內紅皮書評估類別
5adb8be0-5410-4922-9f12-daa700c37f14,種,爬蟲類,Agamidae,飛蜥科,"Diploderma brevipes",短肢攀蜥,"Diploderma brevipes",台灣特有,"原生 Native",,"暫無危機（LC, Least Concern）"
b4a0f603-12e1-4f0e-8560-450ed055fa09,種,爬蟲類,Agamidae,飛蜥科,"Diploderma luei",呂氏攀蜥,"Diploderma luei",台灣特有,"原生 Native",第二級、珍貴稀有保育類野生動物,"資料缺乏（DD, Data Deficient）"
56fd8f78-9bf8-4197-8453-a2db4b817962,種,爬蟲類,Agamidae,飛蜥科,"Diploderma makii",牧氏攀蜥,"Diploderma makii",台灣特有,"原生 Native",第二級、珍貴稀有保育類野生動物,"接近受脅（NT, Near Threatened）"
b5da1edb-8f56-4e4a-bcf1-71533779231d,種,爬蟲類,Agamidae,飛蜥科,"Diploderma polygonatum",黃口攀蜥,"Diploderma polygonatum",,"原生 Native",,
e4552802-d7c0-450f-af17-2a7a85328b86,種,爬蟲類,Agamidae,飛蜥科,"Diploderma swinhonis",斯文豪氏攀蜥,"Diploderma swinhonis",台灣特有,"原生 Native",,"暫無危機（LC, Least Concern）"
f3bb3294-f26a-4d6c-ab70-23f5b0667481,種,爬蟲類,Agamidae,飛蜥科,"Physignathus cocincinus",綠水龍,"Physignathus cocincinus",,"外來 Non-native",,
6b3d895e-4eb2-45d2-b88d-a2d2342c8c6e,種,爬蟲類,Anguidae,蛇蜥科,"Dopasia harti",哈特氏蛇蜥,"Dopasia harti",,"原生 Native",第二級、珍貴稀有保育類野生動物,"資料缺乏（DD, Data Deficient）"
30ecc23f-0b29-440d-abe7-85e3ac4881c3,種,爬蟲類,Chamaeleonidae,變色龍科,"Chamaeleo calyptratus",高冠變色龍,"Chamaeleo calyptratus",,"原生 Native",,
9ca257ce-5c90-412c-9558-d0c692e65571,種,爬蟲類,Cheloniidae,蠵龜科,"Caretta caretta",赤蠵龜,"Caretta caretta",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
9ceb18ee-2e88-40c6-84aa-079de58c2c6c,種,爬蟲類,Cheloniidae,蠵龜科,"Chelonia mydas",綠蠵龜,"Chelonia mydas",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
ecc9e451-b816-4792-bac6-983e5e633a71,種,爬蟲類,Cheloniidae,蠵龜科,"Eretmochelys imbricata",玳瑁,"Eretmochelys imbricata",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
82b23908-a037-4198-b8f2-9dc5197d8493,種,爬蟲類,Cheloniidae,蠵龜科,"Lepidochelys olivacea",欖蠵龜,"Lepidochelys olivacea",,"原生 Native",第一級、瀕臨絕種保育類野生動物,
fa561dd6-3909-42f3-9bc2-e4444c64c707,種,爬蟲類,Colubridae,黃頷蛇科,"Amphiesma sp.",排灣腹鏈蛇,"Amphiesma sp.",台灣特有,"原生 Native",,
8be06967-5e75-409e-b385-370f62584df9,種,爬蟲類,Colubridae,黃頷蛇科,"Amphiesma stolatum",花浪蛇,"Amphiesma stolatum",,"原生 Native",,"暫無危機（LC, Least Concern）"
3befed95-7127-4a55-93e4-fb9d4625125b,種,爬蟲類,Colubridae,黃頷蛇科,"Boiga kraepelini",大頭蛇,"Boiga kraepelini",,"原生 Native",,"暫無危機（LC, Least Concern）"
774fb097-6a9c-4e9e-82ed-cb83fc287d6c,種,爬蟲類,Colubridae,黃頷蛇科,"Calamaria pavimentata",鐵線蛇,"Calamaria pavimentata",,"原生 Native",,
a5ebe9d2-8bc9-454d-92fa-6d4720587a58,種,爬蟲類,Colubridae,黃頷蛇科,"Cyclophiops major",青蛇,"Cyclophiops major",,"原生 Native",,"暫無危機（LC, Least Concern）"
51cbc525-33be-4ffa-a5b3-ae081ab93733,種,爬蟲類,Colubridae,黃頷蛇科,"Elaphe carinata",王錦蛇,"Elaphe carinata",,"原生 Native",,"暫無危機（LC, Least Concern）"
dcdffc54-2f92-48ec-9543-c7f59f53d73f,種,爬蟲類,Colubridae,黃頷蛇科,"Euprepiophis mandarinus",玉斑錦蛇,"Euprepiophis mandarinus",,"原生 Native",第三級、其他應予保育之野生動物,"暫無危機（LC, Least Concern）"
479ef797-d299-468c-aa96-aeb5b6fbf8b3,種,爬蟲類,Colubridae,黃頷蛇科,"Gonyosoma frenatus",灰腹綠錦蛇,"Gonyosoma frenatus",,"原生 Native",,"資料缺乏（DD, Data Deficient）"
00f89f81-f5dd-4593-b9cf-2fd5bd429694,種,爬蟲類,Colubridae,黃頷蛇科,"Hebius miyajimae",金絲蛇,"Hebius miyajimae",台灣特有,"原生 Native",第一級、瀕臨絕種保育類野生動物,"瀕危（EN, Endangered）"
89bf77af-cc15-44f6-bff4-a12ee7a03900,種,爬蟲類,Colubridae,黃頷蛇科,"Hebius sauteri",梭德氏遊蛇,"Hebius sauteri",台灣特有,"原生 Native",,
a8553e83-ae11-49e0-9867-0cfb0fe2a6e0,種,爬蟲類,Colubridae,黃頷蛇科,"Lycodon rufozonatus",紅斑蛇,"Lycodon rufozonatus",,"原生 Native",,
1bc162c5-fbaf-4be3-b925-843da235a6b6,種,爬蟲類,Colubridae,黃頷蛇科,"Lycodon ruhstrati",白梅花蛇,"Lycodon ruhstrati",,"原生 Native",,
30201913-8f51-41ab-b7b1-33ef7c228dfb,種,爬蟲類,Colubridae,黃頷蛇科,"Oligodon formosanus",赤背松柏根,"Oligodon formosanus",,"原生 Native",,"暫無危機（LC, Least Concern）"
5b386059-7265-4039-9239-43bb49235fdc,種,爬蟲類,Colubridae,黃頷蛇科,"Oligodon ornatus",赤腹松柏根,"Oligodon ornatus",,"原生 Native",,"資料缺乏（DD, Data Deficient）"
7de37932-20d8-41fd-bd8d-a803c5b15854,種,爬蟲類,Colubridae,黃頷蛇科,"Oreocryptophis porphyraceus",紅竹蛇,"Oreocryptophis porphyraceus",,"原生 Native",,
a0624436-a49d-457c-b491-dc61406d49c3,種,爬蟲類,Colubridae,黃頷蛇科,"Orthriophis taeniurus",臺灣黑眉錦蛇,"Orthriophis taeniurus",,"原生 Native",第三級、其他應予保育之野生動物,
e1dd4255-153a-46a5-bc94-4af831c4331b,種,爬蟲類,Colubridae,黃頷蛇科,"Plagiopholis styani",福建頸斑蛇,"Plagiopholis styani",,"原生 Native",,"資料缺乏（DD, Data Deficient）"
a8a7d3a2-76b2-4f91-925f-6e7028150446,種,爬蟲類,Colubridae,黃頷蛇科,"Psammodynastes pulverulentus",茶斑蛇,"Psammodynastes pulverulentus",,"原生 Native",,"暫無危機（LC, Least Concern）"
47978396-8340-4201-a766-c3c79e9bd4c1,種,爬蟲類,Colubridae,黃頷蛇科,"Pseudagkistrodon rudis",擬龜殼花,"Pseudagkistrodon rudis",,"原生 Native",,
938b3d6e-65cc-44b3-a0f5-f3de6cc57ef0,種,爬蟲類,Colubridae,黃頷蛇科,"Pseudoxenodon stejnegeri",史丹吉氏斜鱗蛇,"Pseudoxenodon stejnegeri",,"原生 Native",,
34b52900-53c4-422f-b353-5d2de3f1f60f,種,爬蟲類,Colubridae,黃頷蛇科,"Ptyas korros",細紋南蛇,"Ptyas korros",,"原生 Native",,"暫無危機（LC, Least Concern）"
d0a1fd02-c836-4e09-8f06-287438b6bcc5,種,爬蟲類,Colubridae,黃頷蛇科,"Ptyas mucosus",南蛇,"Ptyas mucosus",,"原生 Native",,"暫無危機（LC, Least Concern）"
4b1343f3-89a6-484f-bad3-76956a3776de,種,爬蟲類,Colubridae,黃頷蛇科,"Rhabdophis swinhonis",斯文豪氏遊蛇,"Rhabdophis swinhonis",台灣特有,"原生 Native",第三級、其他應予保育之野生動物,"暫無危機（LC, Least Concern）"
634de9d3-0592-4573-b730-a6fcc9a24e8a,種,爬蟲類,Colubridae,黃頷蛇科,"Rhabdophis tigrinus",虎斑頸槽蛇,"Rhabdophis tigrinus",,"原生 Native",,
c35a686b-be3e-4cb5-8502-238920a34c28,種,爬蟲類,Colubridae,黃頷蛇科,"Sibynophis chinensis",黑頭蛇,"Sibynophis chinensis",,"原生 Native",,
1638a432-d2fd-473f-bac2-5c1fe2a70c20,種,爬蟲類,Colubridae,黃頷蛇科,"Sinonatrix annularis",赤腹遊蛇,"Sinonatrix annularis",,"原生 Native",第二級、珍貴稀有保育類野生動物,"資料缺乏（DD, Data Deficient）"
ba6cb1e8-7585-42d8-a693-ba280ef44cea,種,爬蟲類,Colubridae,黃頷蛇科,"Sinonatrix percarinata",白腹遊蛇,"Sinonatrix percarinata",,"原生 Native",,"接近受脅（NT, Near Threatened）"
b065f5f5-3bee-482b-9f1a-6015fcac5b19,種,爬蟲類,Colubridae,黃頷蛇科,"Xenochrophis flavipunctatus",草花蛇,"Xenochrophis flavipunctatus",,"原生 Native",第三級、其他應予保育之野生動物,"暫無危機（LC, Least Concern）"
1e9afb42-367f-471d-af20-50b7011c9e40,種,爬蟲類,Colubridae,黃頷蛇科,"Zaocys dhumnades",過山刀,"Zaocys dhumnades",,"原生 Native",,"暫無危機（LC, Least Concern）"
