197|Arthropteridaceae|爬樹蕨科|藤蕨|Arthropteris palisotii|Arthropteris palisotii (Desv.) Alston|1|0||原生
563|Aspleniaceae|鐵角蕨科|革葉鐵角蕨|Asplenium adiantoides|Asplenium adiantoides (L.) C. Chr.|1|0||原生
564|Aspleniaceae|鐵角蕨科|深山鐵角蕨|Asplenium adiantum-nigrum|Asplenium adiantum-nigrum L.|1|0||原生
565|Aspleniaceae|鐵角蕨科|山蘇花|Asplenium antiquum|Asplenium antiquum Makino|1|0||原生
566|Aspleniaceae|鐵角蕨科|無配鐵角蕨|Asplenium apogamum|Asplenium apogamum N. Murak. & Hatan.|1|0||未知
567|Aspleniaceae|鐵角蕨科|南洋山蘇花|Asplenium australasicum|Asplenium australasicum (J. Sm.) Hook.|1|0||原生
568|Aspleniaceae|鐵角蕨科|大鐵角蕨|Asplenium bullatum|Asplenium bullatum Wall. ex Mett.|1|0|NT|原生
569|Aspleniaceae|鐵角蕨科|姬鐵角蕨|Asplenium capillipes|Asplenium capillipes Makino|1|0||原生
570|Aspleniaceae|鐵角蕨科|單邊鐵角蕨|Asplenium cataractarum|Asplenium cataractarum Rosenst.|1|0||原生
571|Aspleniaceae|鐵角蕨科|薄葉孔雀鐵角蕨|Asplenium cheilosorum|Asplenium cheilosorum Kunze ex Mett.|1|0||原生
572|Aspleniaceae|鐵角蕨科|大蓬萊鐵角蕨|Asplenium cuneatiforme|Asplenium cuneatiforme Christ|1|1||原生
573|Aspleniaceae|鐵角蕨科|劍葉鐵角蕨|Asplenium ensiforme|Asplenium ensiforme Wall. ex Hook. & Grev.|1|0||原生
574|Aspleniaceae|鐵角蕨科|剪葉鐵角蕨|Asplenium excisum|Asplenium excisum C. Presl|1|0||原生
575|Aspleniaceae|鐵角蕨科|複齒鐵角蕨|Asplenium filipes|Asplenium filipes Copel.|1|0||未知
576|Aspleniaceae|鐵角蕨科|南海鐵角蕨|Asplenium formosae|Asplenium formosae Christ|1|0||原生
577|Aspleniaceae|鐵角蕨科|叢葉鐵角蕨|Asplenium griffithianum|Asplenium griffithianum Hook.|1|0||原生
578|Aspleniaceae|鐵角蕨科|縮羽鐵角蕨|Asplenium incisum|Asplenium incisum Thunb.|1|0||原生
579|Aspleniaceae|鐵角蕨科|鱗柄鐵角蕨|Asplenium laciniatum|Asplenium laciniatum D. Don|1|0||原生
580|Aspleniaceae|鐵角蕨科|裂葉鐵角蕨|Asplenium lobulatum|Asplenium lobulatum Mett.|1|0||原生
581|Aspleniaceae|鐵角蕨科|大黑柄鐵角蕨|Asplenium neolaserpitiifolium|Asplenium neolaserpitiifolium Tardieu & Ching|1|0||原生
582|Aspleniaceae|鐵角蕨科|臺灣山蘇花|Asplenium nidus|Asplenium nidus L.|1|0||原生
583|Aspleniaceae|鐵角蕨科|生芽鐵角蕨|Asplenium normale|Asplenium normale D. Don|1|0||原生
584|Aspleniaceae|鐵角蕨科|綠柄剪葉鐵角蕨|Asplenium obscurum|Asplenium obscurum Blume|1|0|NT|原生
